StationID,StationName,Latitude,Longitude,Year,SumPyrethroid,Survival,ToxicUnit,ToxCategory,LandUse,Urban5k,Ag5k,Other5k
103SM1009,Smith River at Sarina Road,41.9134,-124.17162,2015,0,108.45,0,Some Toxicity,Urban,29.42,17.22,53.36
105KLAMKK,Klamath River at Kamp Klamath,41.5171,-124.03896,2015,0,111.27,0,Non-Toxic,Other,7.7,1.71,90.59
109MAD101,Mad River upstream Hwy 101,40.91763,-124.08946,2015,0,111.27,0,Some Toxicity,Other,22.36,3.81,73.83
111EELFRN,Eel River at Fernbridge,40.61129,-124.20407,2015,0,101.41,0,Some Toxicity,Other,16.93,17.94,65.13
111SF0933,Eel River - South Fork at Myers Flat,40.26178,-123.88023,2015,1.08,94.37,0.01,Some Toxicity,Other,5.42,0,94.58
113NA3269,Navarro River at Dimmick State Park,39.15911,-123.63861,2015,,,,Some Toxicity,Other,4.76,0,95.24
114LAGWOH,Laguna de Santa Rosa upstream of Wohler Street Bridge,38.49254,-122.88327,2015,,,,Some Toxicity,Other,8.39,45.33,46.27
114RRDSDM,Russian River downstream Duncan Mills,38.4475,-123.05583,2015,0,111.27,0,Non-Toxic,Other,8.39,0,90.58
201LAG125,Lagunitas Creek @ Coast Guard Station,38.06915,-122.79809,2015,0,98.67,0,Non-Toxic,Other,5.38,0,94.62
201WLK160,Walker Creek Ranch,38.17545,-122.82044,2015,0,25.33,0,Moderately Toxic,Other,1.56,0,98.44
204ALA020,Alameda Creek E. of Alvarado Blvd,37.582,-122.052,2015,3.956,102.67,0.34,Non-Toxic,Urban,91.04,0,8.96
204SLE030,San Leandro Creek at Empire Road,37.72556,-122.18361,2015,35,85.33,0.45,Non-Toxic,Urban,98.37,0,1.63
204SMA020,San Mateo Creek at Gateway Park,37.57028,-122.31861,2015,20.565,98.68,0.61,Non-Toxic,Urban,89.17,0,10.83
205COY060,Coyote Creek at Montague,37.3954,-121.91485,2015,34.08,93.42,1.16,Non-Toxic,Urban,100,0,0
205GUA020,Guadalupe Creek @ USGS Gaging Station 11169025,37.37389,-121.93194,2015,32.252,97.37,0.74,Some Toxicity,Urban,99.81,0.11,0.07
206SON010,Sonoma Creek at Hwy 121 bridge,38.2405,-122.45127,2015,,,,Non-Toxic,Other,16.97,37.5,45.54
207KIR020,Kirker Creek at Floodway,38.0165,-121.83881,2015,14.569,92.11,1.19,Moderately Toxic,Urban,81.68,0,18.32
207LAU020,Laurel Creek @ Pintail Drive,38.2483,-122.00668,2015,3.097,100,0.38,Non-Toxic,Urban,58.03,5.49,36.48
207WAL020,Walnut Creek @ Concord Ave O.C.,37.98063,-122.0516,2015,4.458,105.26,0.53,Some Toxicity,Urban,98.33,0,1.67
304SLRWAT,San Lorenzo River below Water Street,36.97685,-122.0239,2015,0.351,105.63,0.04,Non-Toxic,Urban,55.33,0.93,43.75
304SOK,Soquel Creek at Knob Hill Parking Lot,36.98014,-121.95624,2015,1.37,111.27,0.14,Non-Toxic,Urban,64.88,0,35.12
305THU,Pajaro River at Thurwachter Bridge,36.87977,-121.79195,2015,7.294,111.27,0.3,Non-Toxic,Urban/Ag,29.94,58.08,11.98
307CML,Carmel River at Highway 1,36.53638,-121.91168,2015,59.725,104.23,2.07,Non-Toxic,Urban,28.06,2.4,69.54
309DAV,Salinas River at Davis Road,36.64681,-121.70139,2015,37.241,102.82,0.9,Non-Toxic,Other,21.02,23.57,55.41
309TDW,Tembladero Slough at Monterey Dunes Way,36.77218,-121.7866,2015,24.781,12.68,1.64,Highly Toxic,Urban/Ag,26.09,73.65,0.27
310ARG,Arroyo Grande Creek at 22nd Street,35.09521,-120.60625,2015,4.539,100,0.19,Some Toxicity,Urban,48.13,25.25,26.62
310SLB,San Luis Obispo Creek at San Luis Bay Drive,35.18832,-120.71792,2015,1.21,97.44,0.06,Non-Toxic,Other,10.76,3.97,85.27
312SMA,Santa Maria River above Estuary,34.96046,-120.64256,2015,10.114,101.32,0.4,Moderately Toxic,Other,5.09,29.51,65.4
313SAI,San Antonio Creek at San Antonio Rd West,34.78233,-120.52997,2015,,,,Non-Toxic,Other,5.92,0.88,93.2
314SYN,Santa Ynez River at 13th Street,34.67677,-120.55442,2015,0.997,103.95,0.3,Non-Toxic,Other,19.57,40.29,40.14
315ATA,Atascadero Creek at Ward Drive,34.42345,-119.81929,2015,0.908,94.87,0.2,Non-Toxic,Urban,81.02,2.48,16.5
315MIS,Mission Creek at Montecito Street,34.41304,-119.69401,2015,30.516,94.87,0.48,Non-Toxic,Urban,82.12,0,17.88
402VRB0xx,Ventura River Bio 0,34.28173,-119.30669,2015,24.18,87.01,12.87,Non-Toxic,Urban,25.82,1.04,73.15
403STCBQT,Bouquet Canyon Creek,34.42782,-118.54022,2015,671.66,0,12.87,Highly Toxic,Urban,63.45,1.12,35.43
403STCEST,Santa Clara River Estuary,34.23557,-119.21674,2015,6.05,89.74,0.31,Non-Toxic,Urban,61.29,20.83,17.89
403STCSSP,Sespe Creek,34.39414,-118.94096,2015,,,,Non-Toxic,Other,13.02,22.12,64.87
404BLNAxx,Ballona Creek Downstream of Sawtelle (Centinella),33.986,-118.417,2015,305.53,8,3.52,Highly Toxic,Urban,95.21,0,4.79
405SGRA2x,San Gabriel River RA-2,33.78708,-118.09367,2015,27.217,77.33,1.98,Moderately Toxic,Urban,97.63,0,2.37
408CGCS06,"Calleguas Creek Below Camrosa WWTP, Site 6",34.17978,-119.04053,2015,24.418,59.74,2.15,Some Toxicity,Urban,37.11,25.73,37.16
412LARWxx,Los Angeles River at Willow,33.8049,-118.205,2015,117.95,72,0.98,Moderately Toxic,Urban,94.86,0,5.14
504BCHROS,Big Chico Creek @ Rose Ave,39.72716,-121.86308,2015,28.445,93.24,0.43,Non-Toxic,Urban,85.94,8.16,5.91
504SACHMN,Sac R @ Hamilton City,39.7511,-121.99798,2015,4.057,95.95,0.48,Non-Toxic,Agriculture,4.5,71.17,24.33
508SACBLF,Sacramento River @ Balls Ferry,40.41762,-122.19334,2015,1.214,101.35,0.13,Non-Toxic,Other,3.22,8.19,88.59
